ContentNormalizedHash,PostId,PostTypeId,ParentId,RootDomain,CompleteDomain,Url
4513035749191282382,44957592,2,44956519,angular.io,angular.io,https://angular.io/guide/pipes#appendix-no-filterpipe-or-orderbypipe
4513035749191282382,45444484,2,45443296,angular.io,angular.io,https://angular.io/guide/pipes#appendix-no-filterpipe-or-orderbypipe
-3352132202967808795,39895819,1,39895819,angular.io,angular.io,https://angular.io/docs/ts/latest/tutorial/toh-pt6.html
-3352132202967808795,39961646,1,39961646,angular.io,angular.io,https://angular.io/docs/ts/latest/tutorial/toh-pt6.html
-3352132202967808795,39856502,1,39856502,angular.io,angular.io,https://angular.io/docs/ts/latest/tutorial/
-3352132202967808795,39543602,1,39543602,angular.io,angular.io,https://angular.io/docs/ts/latest/quickstart.html
2548478764527374063,40759993,1,40759993,angular.io,angular.io,https://angular.io/docs/ts/latest/guide/webpack.html#!#top
2548478764527374063,39702664,1,39702664,angular.io,angular.io,https://angular.io/docs/ts/latest/guide/webpack.html
2548478764527374063,40218301,1,40218301,angular.io,angular.io,https://angular.io/docs/ts/latest/guide/webpack.html
2548478764527374063,39702664,1,39702664,angular.io,angular.io,https://angular.io/docs/ts/latest/guide/webpack.html#!#configure-webpack
2548478764527374063,40575938,1,40575938,angular.io,angular.io,https://angular.io/docs/ts/latest/guide/webpack.html
-9152312263599898882,46959346,1,46959346,angular.io,angular.io,https://angular.io/guide/quickstart
-7469941329984161277,38598144,2,38597971,codepen.io,codepen.io,http://codepen.io/mlegg10/pen/JKdOaj
-7469941329984161277,41228366,2,41207218,codepen.io,codepen.io,http://codepen.io/mlegg10/pen/JKdOaj
-6922994943158487033,35587387,1,35587387,codepen.io,codepen.io,http://codepen.io/anon/pen/WrVXNE
-6922994943158487033,41196556,1,41196556,codepen.io,codepen.io,http://codepen.io/SitePoint/pen/MwNPVq
-6922994943158487033,49419719,1,49419719,codepen.io,codepen.io,https://codepen.io/SitePoint/pen/MwNPVq
-6922994943158487033,36142720,1,36142720,codepen.io,codepen.io,http://codepen.io/SitePoint/pen/MwNPVq/
-7938393519378727411,42303826,1,42303826,codepen.io,codepen.io,http://codepen.io/syedrafeeq/details/rcfsJ/
-7938393519378727411,42006848,1,42006848,codepen.io,codepen.io,http://codepen.io/syedrafeeq/pen/rcfsJ
-7938393519378727411,34804195,1,34804195,codepen.io,codepen.io,http://codepen.io/syedrafeeq/pen/rcfsJ
7140669375228845080,43513329,2,39064981,codepen.io,codepen.io,https://codepen.io/maxds/pen/jgeoA
7140669375228845080,27919963,2,27919860,codepen.io,codepen.io,http://codepen.io/anon/pen/emvNpr
7140669375228845080,40040862,2,40040741,codepen.io,codepen.io,https://codepen.io/maxds/pen/jgeoA
7140669375228845080,43513329,2,39064981,codepen.io,codepen.io,https://codepen.io/Idered/pen/AeBgF
7296323181211653401,47112192,1,47112192,codepen.io,codepen.io,https://codepen.io/anon/pen/LONQaq
-4813517850796026848,51253935,1,51253935,codepen.io,codepen.io,https://codepen.io/chuongdang/pen/lcnsC
-8295062948747500768,36592899,2,36592112,codepen.io,codepen.io,http://codepen.io/impressivewebs/details/CyfED
-8505266165843721687,51698743,1,51698743,codepen.io,codepen.io,https://codepen.io/nickau/pen/xJJPqq
-8505266165843721687,38180274,1,38180274,codepen.io,codepen.io,http://codepen.io/KavyaBabu17/pen/JKJbEO
-8505266165843721687,36829716,1,36829716,codepen.io,codepen.io,http://codepen.io/jzhang172/pen/xVaKxo
5400442872229692969,40630713,2,40629616,codepen.io,codepen.io,https://codepen.io/zuraizm/pen/vGDHl
5400442872229692969,37132693,1,37132693,codepen.io,codepen.io,https://codepen.io/zuraizm/pen/vGDHl
5400442872229692969,31149838,1,31149838,codepen.io,codepen.io,http://codepen.io/zuraizm/pen/vGDHl
5400442872229692969,37132693,1,37132693,codepen.io,codepen.io,https://codepen.io/zuraizm/pen/vGDHl
5400442872229692969,41218404,1,41218404,codepen.io,codepen.io,https://codepen.io/zuraizm/pen/vGDHl
-2743313353450358998,26155717,1,26155717,codepen.io,codepen.io,http://codepen.io/shadowman86/pen/CAfzi
3224418094889049902,36829716,1,36829716,codepen.io,codepen.io,http://codepen.io/jzhang172/pen/xVaKxo
3224418094889049902,38180274,1,38180274,codepen.io,codepen.io,http://codepen.io/KavyaBabu17/pen/JKJbEO
3224418094889049902,37808557,1,37808557,codepen.io,codepen.io,http://codepen.io/atakan/pen/gqbIz
-9156973036279591882,29104132,1,29104132,codepen.io,codepen.io,http://codepen.io/quasimondo/pen/lDdrF
-9156973036279591882,28163385,2,27493773,codepen.io,codepen.io,http://codepen.io/lonekorean/pen/HiJDw
-9156973036279591882,44139329,2,42533638,codepen.io,codepen.io,http://codepen.io/quasimondo/pen/lDdrF
-9156973036279591882,28163385,2,27493773,codepen.io,codepen.io,http://codepen.io/quasimondo/pen/lDdrF
