ContentNormalizedHash,PostId,PostTypeId,ParentId,LinkedPostId,LinkedPostTypeId
8851538916938390931,34241795,1,34241795,34224115,1
1005717485242211124,9733635,1,9733635,8643498,1
6292381475887594572,37260035,1,37260035,24195432,1
-4628293157635920185,21926147,1,21926147,7328824,1
8419310994932989086,20879363,1,20879363,2115758,1
-935936449492353126,20879363,1,20879363,2115758,1
1573410546261345642,5872131,1,5872131,1058785,1
4479997933573962540,9937411,1,9937411,526556,1
-5218070951659712497,23833347,1,23833347,23832828,2
-5218070951659712497,23833347,1,23833347,23832828,2
2921925739103425347,37466371,1,37466371,9487517,1
7362753056730524200,28947203,1,28947203,24997599,1
-6062130018467236951,24163587,1,24163587,19737306,1
-869348175390725017,13614083,1,13614083,12719859,1
-8566251010063312658,45465091,1,45465091,45378377,1
6707001649567409803,40484867,1,40484867,7507121,1
3058649114462224986,42451203,1,42451203,39806271,1
-2776692507604444502,42451203,1,42451203,39806271,1
-4225731269688386552,23970307,1,23970307,4536788,1
7206583831534596386,29017347,1,29017347,29107559,1
-7903453265783713975,48154115,1,48154115,25278476,1
2497497413471396897,26137603,1,26137603,26117920,1
-4872064486657319033,25944579,1,25944579,2245699,2
9208235564838467866,12902915,1,12902915,12878655,1
7983265701281409808,41150979,1,41150979,32852388,1
7252272700185634184,41150979,1,41150979,32852388,1
3115575536963666563,39643907,1,39643907,5185015,1
-5746253567903266103,25882627,1,25882627,18129059,2
478155882018909880,25882627,1,25882627,18129059,2
7271146967492503809,22016259,1,22016259,18553747,2
3296364611339078046,6552835,1,6552835,2575048,1
6676365842954359979,22675460,1,22675460,22648072,1
881188264881135730,45613316,1,45613316,45487174,1
2755996848743733220,16188420,1,16188420,3085696,1
538409835827488895,34081284,1,34081284,11117305,2
-5128058636624398336,2099716,1,2099716,2099517,1
-8509414226576562506,23988996,1,23988996,20320386,2
7829803446527521700,16191236,1,16191236,16318860,2
1511356944201978766,30610436,1,30610436,13310347,1
1071259843413163447,44438788,1,44438788,44040612,1
-9152312263599898882,46996228,1,46996228,44596467,2
-6667449672596831935,46996228,1,46996228,44596467,2
-7186586985964730916,23011332,1,23011332,21263427,1
4696649738639809315,33566212,1,33566212,33541422,1
4696649738639809315,33566212,1,33566212,33541422,1
-2645230890361275893,33566212,1,33566212,33541422,1
-2645230890361275893,33566212,1,33566212,33541422,1
-9209274337877771430,12070404,1,12070404,1020653,1
5186441808041508830,14299140,1,14299140,14298757,2
-6298872833180953089,12727556,1,12727556,7223314,1
-7930326486062669845,27803396,1,27803396,17409613,1
-8820556528664346530,36585476,1,36585476,31496177,1
8210910120071999578,8798468,1,8798468,2596690,1
-5746373535400502355,46350596,1,46350596,11145604,1
8307887815384134078,51462660,1,51462660,25416259,2
-7852119548829254976,13714436,1,13714436,221185,1
4974000571100402541,16336644,1,16336644,16292178,1
6086156272921639512,13518852,1,13518852,3312607,1
1471629319951057963,38423556,1,38423556,16248898,1
613161796009850281,43078404,1,43078404,43077702,1
-1330472358094430785,29709316,1,29709316,19629067,1
-7956451625796515216,29709316,1,29709316,19629067,1
7311906363921605343,16339972,1,16339972,16337857,1
187956484181401355,11229444,1,11229444,3713,1
-8009711763744951078,11229444,1,11229444,3713,1
187956484181401355,11229444,1,11229444,2777105,1
-8009711763744951078,11229444,1,11229444,2777105,1
109598067675916591,43014916,1,43014916,20285053,2
5534765682662356982,38231044,1,38231044,29559763,2
8419893081566520483,38231044,1,38231044,24705876,2
5534765682662356982,38231044,1,38231044,24705876,2
8419893081566520483,38231044,1,38231044,29559763,2
8172266976923000172,20406276,1,20406276,279293,1
8100619327946199401,16673284,1,16673284,16670608,1
-6917636332176819461,38628356,1,38628356,33679571,1
-2780845923408142067,11694852,1,11694852,6236047,1
-1718064603167309231,11694852,1,11694852,6236047,1
-190898794798084000,11694852,1,11694852,6236047,1
-286985258966775730,11694852,1,11694852,6236047,1
5868666373071270790,24147460,1,24147460,13514990,1
2173986547918736290,22379012,1,22379012,16587661,2
-6237599008970747947,12550148,1,12550148,2745153,1
5616989377865658308,42304772,1,42304772,42304285,2
7977330604052628480,44205572,1,44205572,20539019,1
2050712499861677696,44205572,1,44205572,20539019,1
-4204733672661182376,44205572,1,44205572,20539019,1
3972418504751109825,47744516,1,47744516,4319212,1
-6880851819200551998,49187588,1,49187588,13864464,1
-6880851819200551998,49187588,1,49187588,24990691,1
1378262500655963470,47418628,1,47418628,19447435,1
