MetricType;Metric;Threshold;InformednessText;MarkednessText;MatthewsCorrelationText;FScoreText;RuntimeText;InformednessCode;MarkednessCode;MatthewsCorrelationCode;FScoreCode;RuntimeCode;PostCount;PostVersionCount;PostBlockVersionCount;PossibleConnections;TextBlockVersionCount;PossibleConnectionsText;TruePositivesText;TrueNegativesText;FalsePositivesText;FalseNegativesText;FailuresText;PrecisionText;RecallText;InversePrecisionText;InverseRecallText;FailureRateText;CodeBlockVersionCount;PossibleConnectionsCode;TruePositivesCode;TrueNegativesCode;FalsePositivesCode;FalseNegativesCode;FailuresCode;PrecisionCode;RecallCode;InversePrecisionCode;InverseRecallCode;FailureRateCode
SET;fourGramDiceNormalized;0.6;0.9449459410376555;0.9744310698302687;0.9595752624245233;0.9685534591194968;10619103617;0.9728500337099604;0.9827747252747252;0.9777997875909024;0.9831856396273574;13392445519;700;3005;14280;42604;8066;24586;5467;18764;54;301;2729;0.9902191631950733;0.9478155339805825;0.9842119066351954;0.997130407057073;0.0;6214;18018;4327;13543;41;107;0;0.9906135531135531;0.9758682904826342;0.9921611721611722;0.9969817432273262;0.0
SET;fiveGramOverlapNormalizedPadding;0.7;0.9607863940580397;0.9712500793845908;0.9660040690910705;0.9738796191141784;11139031125;0.9724913174936365;0.9804309231147847;0.9764530506539469;0.9821894498014747;13840197025;700;3005;14280;42604;8066;24586;5574;18713;105;194;3649;0.9815108293713682;0.9663661581137309;0.9897392500132226;0.9944202359443086;0.0;6214;18018;4329;13532;52;105;42;0.9881305637982196;0.976319350473613;0.9923003593165652;0.9961719670200235;0.0
SET;threeGramJaccardNormalized;0.3;0.9645168501430375;0.9752614976080287;0.9698742948128264;0.9768457841852337;11305411860;0.978212547277622;0.9813504302587999;0.9797802325804756;0.9847405900305188;13785824109;700;3005;14280;42604;8066;24586;5590;18731;87;178;1292;0.9846750044037343;0.9691400832177531;0.9905864932042943;0.9953767669252843;0.0;6214;18018;4356;13527;57;78;0;0.9870836165873556;0.9824086603518268;0.9942668136714443;0.995803886925795;0.0
SET;threeShingleDiceNormalized;0.3;0.9609823546641167;0.9744550918593016;0.9676952767733186;0.9751357030292418;13168825940;0.975565757533738;0.9824657857653536;0.9790096927718112;0.9841305826343233;15535555124;700;3005;14280;42604;8066;24586;5569;18733;85;199;27561;0.9849663954722321;0.965499306518724;0.9894886963870695;0.9954830481453927;1.0;6214;18018;4341;13537;47;93;8093;0.9892889699179581;0.9790257104194858;0.9931768158473955;0.996540047114252;0.0
FINGERPRINT;winnowingFiveGramJaccard;0.6;0.9050123203666804;0.9665975915917466;0.9352982033700757;0.9484853981498277;4727376365;0.9535093423609085;0.9791107880629519;0.9662252758153123;0.9741349580411542;8315723213;700;3005;14280;42604;8066;24586;5229;18789;29;539;3389;0.9944845949030049;0.9065533980582524;0.9721129966887417;0.9984589223084281;0.0;6214;18018;4237;13556;28;197;0;0.9934349355216882;0.9555705908885882;0.9856758525412638;0.9979387514723204;0.0
FINGERPRINT;winnowingFourGramLongestCommonSubsequenceNormalized;0.6;0.905238831295736;0.9668395163849977;0.9355322943986969;0.9486667875929621;14357300309;0.958323770223984;0.9802586220790102;0.9692291465413762;0.9764989109251404;30233210617;700;3005;14280;42604;8066;24586;5230;18790;28;538;2729;0.9946747812856599;0.9067267683772539;0.9721647350993378;0.9985120629184823;0.0;6214;18018;4259;13554;30;175;0;0.9930053625553742;0.960532250789355;0.9872532595236361;0.997791519434629;0.0
EDIT;levenshtein;0.6;0.9193907617002579;0.9691612340471023;0.9439480309746545;0.9557633519151232;74285980612;0.9621530982083515;0.9821315484100053;0.9720909999330577;0.9787087912087912;151898047043;700;3005;14280;42604;8066;24586;5315;18779;39;453;0;0.9927157265595816;0.9214632454923717;0.9764455074875208;0.9979275162078861;0.0;6214;18018;4275;13557;27;159;0;0.9937238493723849;0.9641407307171854;0.9884076990376203;0.9980123674911661;0.0
SET;twoShingleDiceNormalized;0.3;0.9691447081460205;0.9765774765064146;0.9728539939018529;0.9791684825241871;12515517094;0.9794874292927602;0.9821784320400453;0.980832007790171;0.9855367231638419;14578333618;700;3005;14280;42604;8066;24586;5617;18730;88;151;13934;0.9845749342681858;0.9738210818307905;0.9920025422382289;0.9953236263152301;0.0;6214;18018;4361;13529;55;73;308;0.9875452898550725;0.9835363103292738;0.9946331421849728;0.9959511189634864;0.0
SET;fiveGramDice;0.7;0.9200981914651021;0.9688628987481922;0.9441657698285022;0.9559748427672956;8492755154;0.9625399060583892;0.980807115046245;0.9716305822574813;0.9783925917457413;11392224529;700;3005;14280;42604;8066;24586;5320;18776;42;448;3389;0.9921671018276762;0.9223300970873787;0.976695796920516;0.9977680943777234;0.0;6214;18018;4279;13550;34;155;0;0.9921168560166937;0.965042850699143;0.9886902590295512;0.9974970553592462;0.0
PROFILE;cosineTwoGramNormalizedTermFrequency;0.9;0.9092011050003914;0.9667979220156306;0.937557325718643;0.9504431181045396;13436504967;0.9550238001883933;0.9781386736591733;0.9665121381696239;0.9744119334480781;15181254289;700;3005;14280;42604;8066;24586;5255;18783;35;513;8;0.9933837429111532;0.9110610263522885;0.9734141791044776;0.9981400786481028;0.0;6214;18018;4246;13549;35;188;0;0.9918243401074516;0.9576003608479928;0.9863143335517216;0.9974234393404005;0.0
