"HashValue","ThreadCount","LineCount"
"-5520740637449057085",5,44
"-684082488094366903",5,44
"-8212534183976614256",5,44
"840612996073643589",5,43
"1380958385336182038",5,43
"1142620446326032073",5,43
"1443710385860610152",5,43
"-2175700636868979692",5,43
"4338704172566074137",5,43
"-5559857666065729463",5,43
"3253642193395332605",5,42
"-3565583768689485549",5,42
"-3571317264799948355",5,42
"-46594099215442497",5,42
"8012493048031829965",5,42
"4909940376770999397",5,41
"-4205460625525720744",5,41
"4070549829462344323",5,41
"1755551302365117857",5,41
"4849693128769342671",5,41
"-8734996800904274933",5,41
"-2743313353450358998",5,41
"-6116276045183105976",5,40
"8357609149187929968",5,40
"6911894444565405339",5,40
"826442306771237358",5,40
"6186809200080226727",5,40
"8369118428498911820",5,40
"-7245958965170765695",5,40
"-5681981297447140465",5,40
"6746323806278341056",5,40
"502621267830018892",5,40
"-8481942554690007583",5,40
"2151682437532262659",5,39
"7281934582951099957",5,39
"7531840245047953529",5,39
"891035238737302889",5,39
"-6152504803135930499",5,39
"7584570088403637602",5,39
"4429860135061719689",5,39
"-242627579795648446",5,39
"-5748649697201497918",5,39
"-2981790513480015830",5,38
"741758969638875942",5,38
"-2460862715150386992",5,38
"4021287301782476352",5,38
"-8447731357230656940",5,38
"-2655778728218166605",5,38
"-7338269199597663540",5,38
"1929191586245541784",5,38
"-5694332664686263755",5,37
"-518376244748769111",5,37
"-3286411541952082645",5,37
"-7162799257467331544",5,37
"-3352132202967808795",5,37
"-2297944269874936844",5,37
"4387442035776647753",5,37
"-6106075639221082550",5,37
"-5990496720261235273",5,37
"7598706216376284881",5,37
"3618787779229516135",5,37
"-7279835914293594475",5,37
"-2321213345380408323",5,37
"-8701271831425146287",5,37
"47566609356996905",5,37
"4590982938139746369",5,36
"-2928181491388664103",5,36
"7653175264456585328",5,36
"-3971998424457726247",5,36
"-6122251099000406691",5,36
"-1729820575709771873",5,36
"-2193254291533208228",5,36
"6972309156836692006",5,36
"4787436025750814200",5,36
"-8632670168138345749",5,36
"7341357146618239548",5,36
"-7905205715877233588",5,36
"-4900844451686319316",5,35
"-8977338102691153873",5,35
"4847553327250054238",5,35
"-831230204791874757",5,35
"-2578990970862054146",5,35
"-578843818385910515",5,35
"-3250507249421451232",5,35
"-2833675487369841698",5,35
"-264018184635874911",5,35
"-5499957679289557787",5,35
"4754449464921301390",5,34
"8618723629276309333",5,34
"-6511154442208833935",5,34
"3034799112008502437",5,33
"-5000724854272072693",5,33
"3083973318397202958",5,33
"-2270864392363945364",5,33
"803453707608000930",5,33
"-4265396399830083832",5,33
"-8387648772833438311",5,33
"738485049224269259",5,33
"4693286438772526599",5,33
"-8196280358382062293",5,33
"7879449312582157675",5,33
"4602354098547221536",5,33
"6567577517072161682",5,32
"1059115151761878432",5,32
"-3990695818406800162",5,32
"-5985462402618514748",5,32
"3584122120388913186",5,32
"7578684628097229581",5,31
"4529272327549489563",5,31
"3704344147495627549",5,31
"-2249971359891746921",5,31
"-4683002830059403787",5,31
"-378524755876173744",5,31
"2385982369885959105",5,31
"-1773720707591408982",5,31
"-7703794767365978573",5,31
"6015780740095343998",5,31
"1548897826070195978",5,30
"-8828663845120501121",5,30
"-3240397532954157423",5,30
"-3719643776915177699",5,30
"-2006690659696412697",5,30
"256132523948787002",5,30
"7599229106722182407",5,30
"1923697936279501963",5,30
"-8752529285949493474",5,30
"-7645854894603918178",5,30
"1798836197498047916",5,30
"-8655074471080518241",5,30
"-3170955870342331909",5,30
"-7167976661059979767",5,30
"-4558207377818555949",5,30
"-7263003051969365212",5,29
"-969775284486986516",5,29
"-1493628655251723135",5,29
"8259472307472021851",5,29
"-7828058016674612318",5,29
"1823709284932312754",5,29
"7819093955917923933",5,28
"-5838942269616114260",5,28
"6278780595797951243",5,28
"-5634320452260364192",5,28
"-7505672966891028527",5,28
"8451157999062190509",5,28
"-7185312453163527085",5,28
"-6841608432537928010",5,28
"-8293951991543168712",5,28
"-8176738240903461099",5,28
"-6222744012560646302",5,27
"-8901200512626481354",5,27
"-6911748604504104096",5,27
"-1727241429834735445",5,27
"3871067916708969491",5,27
"5842236775680087988",5,27
"-3454035910151157347",5,27
"-1237650512498776727",5,27
"-3397194554241528987",5,26
"7845992018518510509",5,26
"-7988436576717147869",5,26
"-1918052679475379819",5,26
"-5120932706623891063",5,26
"1870262632508754642",5,25
"-5431146642009716959",5,25
"-3103225009965776635",5,25
"5076070501171871480",5,25
"-5951976531200794370",5,25
"2468346813329279311",5,25
"7283322084494460544",5,25
"3216683451655559265",5,25
"387452440943606315",5,25
"-5858340902814917631",5,25
"1673547186580926390",5,25
"-6594631667706762663",5,24
"-6101385667276464332",5,24
"6866962704847534031",5,24
"-3629284646128165230",5,24
"4409055853278240131",5,24
"3597531366225030372",5,24
"5289463582358515208",5,24
"-350171119176863130",5,24
"-3471792814448615190",5,23
"7376288767944985063",5,23
"3347069031461072780",5,23
"-8527709252816812069",5,23
"856893183751787001",5,23
"-2777920593735668225",5,23
"4212625288308591662",5,23
"-1893421422988386272",5,23
"-6910607690328953548",5,22
"-57501776612634495",5,22
"9199791285607697253",5,22
"-8606461696064080768",5,22
"-6733886874613986677",5,22
"4261672268486998438",5,22
"-5834951289763485023",5,22
"6056079521929298945",5,22
"-7906196217414229085",5,22
"-5409655032473340163",5,22
"-6037093443870245211",5,22
"-6477775927486515768",5,21
"-8023795032488105868",5,21
"-2149819373112592314",5,21
"-152926602274958619",5,21
"-8766138130181390949",5,21
"3757772665335477872",5,21
"4140762277675166199",5,21
"-4750437432936525950",5,20
"8664502410569615997",5,20
"-8022421675584551241",5,20
"7179208691866932582",5,20
"-2824487818535446707",5,20
"-5969751646240375211",5,20
"-7848438594015280261",5,20
