sample;metric;threshold;numberOfTextPostsWithThisMetric;runtimeTextTotal;truePositivesText;trueNegativesText;falsePositivesText;falseNegativesText;numberOfCodePostsWithThisMetric;runtimeCodeTotal;truePositivesCode;trueNegativesCode;falsePositivesCode;falseNegativesCode
PostId_VersionCount_SO_17-06_sample_100_1;threeGramOverlapNormalizedPadding;0.9;97;20089242;246;467;4;14;97;28260391;140;233;2;10
PostId_VersionCount_SO_17-06_sample_100_1;cosineFourGramNormalizedTermFrequency;0.3;97;33728111;255;467;4;5;97;44420423;149;232;3;1
PostId_VersionCount_SO_17-06_sample_100_1;threeGramDiceNormalized;0.3;97;19381627;255;467;4;5;97;28054148;149;232;3;1
PostId_VersionCount_SO_17-06_sample_100_1;cosineFourGramNormalizedNormalizedTermFrequency;0.5;97;34414842;253;467;4;7;97;42158120;148;233;2;2
PostId_VersionCount_SO_17-06_sample_100_1;cosineThreeShingleNormalizedTermFrequency;0.3;84;22242357;196;326;3;5;94;34620613;140;221;3;3
PostId_VersionCount_SO_17-06_sample_100_1;manhattanTokenNormalized;0.9;97;13342107;212;470;1;48;97;13741810;130;234;1;20
PostId_VersionCount_SO_17-06_sample_100_1;threeShingleJaccardNormalized;0.5;84;19892709;180;327;2;21;94;31601977;133;222;2;10
PostId_VersionCount_SO_17-06_sample_100_1;winnowingThreeGramLongestCommonSubsequenceNormalized;0.8;97;25816358;209;470;1;51;97;181939334;137;234;1;13
PostId_VersionCount_SO_17-06_sample_100_1;cosineFiveGramNormalizedNormalizedTermFrequency;0.7;96;33334394;232;451;2;19;97;44203252;144;233;2;6
PostId_VersionCount_SO_17-06_sample_100_1;cosineThreeShingleNormalizedBool;0.3;84;22377112;196;326;3;5;94;34535640;141;222;2;2
PostId_VersionCount_SO_17-06_sample_100_1;twoShingleOverlap;0.8;87;10233818;198;376;4;18;93;11567420;127;219;2;14
PostId_VersionCount_SO_17-06_sample_100_1;tokenOverlap;0.4;97;5715034;257;468;3;3;97;6833927;146;231;4;4
PostId_VersionCount_SO_17-06_sample_100_1;fourGramJaccardNormalizedPadding;0.9;97;22666248;178;470;1;82;97;31385268;132;234;1;18
PostId_VersionCount_SO_17-06_sample_100_1;threeGramOverlapNormalizedPadding;0.5;97;19898112;256;467;4;4;97;28390223;149;233;2;1
PostId_VersionCount_SO_17-06_sample_100_1;winnowingTwoGramOverlapNormalized;0.5;97;14569933;254;466;5;6;97;23451408;149;231;4;1
PostId_VersionCount_SO_17-06_sample_100_1;winnowingFiveGramLongestCommonSubsequence;0.6;96;14444101;220;452;1;31;97;116518409;144;233;2;6
PostId_VersionCount_SO_17-06_sample_100_1;fiveGramJaccard;0.9;96;18891470;173;452;1;78;97;27252086;132;234;1;18
PostId_VersionCount_SO_17-06_sample_100_1;winnowingFiveGramLongestCommonSubsequence;0.4;96;14418116;239;451;2;12;97;116227261;146;233;2;4
PostId_VersionCount_SO_17-06_sample_100_1;winnowingThreeGramJaccard;0.9;97;10146061;188;470;1;72;97;17265477;133;234;1;17
PostId_VersionCount_SO_17-06_sample_100_1;levenshteinNormalized;0.3;97;89078156;253;468;3;7;97;575949112;147;231;4;3
PostId_VersionCount_SO_17-06_sample_100_1;threeGramOverlap;0.3;97;15696163;257;467;4;3;97;22644710;147;230;5;3
PostId_VersionCount_SO_17-06_sample_100_1;winnowingTwoGramDiceNormalized;0.8;97;14213931;234;468;3;26;97;22905113;146;233;2;4
PostId_VersionCount_SO_17-06_sample_100_1;cosineTwoShingleNormalizedNormalizedTermFrequency;0.3;92;24676587;234;436;3;3;96;32654597;146;231;2;1
PostId_VersionCount_SO_17-06_sample_100_1;cosineTokenNormalizedNormalizedTermFrequency;0.4;97;13650436;256;466;5;4;97;14208414;148;233;2;2
PostId_VersionCount_SO_17-06_sample_100_1;winnowingFourGramOverlap;0.6;97;9013911;252;466;5;8;97;16855778;148;232;3;2
PostId_VersionCount_SO_17-06_sample_100_1;winnowingFiveGramOverlapNormalized;0.4;96;13298667;246;449;4;5;97;22465567;149;232;3;1
PostId_VersionCount_SO_17-06_sample_100_1;twoShingleDiceNormalized;0.5;92;20991539;229;436;3;8;96;29776974;143;231;2;4
PostId_VersionCount_SO_17-06_sample_100_1;tokenJaccardNormalized;0.6;97;23424364;236;469;2;24;97;30391765;145;233;2;5
PostId_VersionCount_SO_17-06_sample_100_1;threeGramOverlap;0.4;97;15411634;256;467;4;4;97;22570519;148;231;4;2
PostId_VersionCount_SO_17-06_sample_100_1;winnowingTwoGramDice;0.4;97;9907034;257;467;4;3;97;17235493;148;231;4;2
PostId_VersionCount_SO_17-06_sample_100_1;winnowingTwoGramOverlap;0.6;97;9918856;251;465;6;9;97;17329750;149;231;4;1
PostId_VersionCount_SO_17-06_sample_100_1;threeShingleDiceNormalized;0.9;84;19210479;146;328;1;55;94;31150516;124;223;1;19
PostId_VersionCount_SO_17-06_sample_100_1;levenshteinNormalized;0.4;97;90162660;249;468;3;11;97;569674022;147;233;2;3
PostId_VersionCount_SO_17-06_sample_100_1;fourGramDiceNormalized;0.6;97;20233999;246;468;3;14;97;29249814;147;233;2;3
PostId_VersionCount_SO_17-06_sample_100_1;cosineTwoShingleNormalizedNormalizedTermFrequency;0.5;92;24699813;230;436;3;7;96;34762625;143;231;2;4
PostId_VersionCount_SO_17-06_sample_100_1;tokenDiceNormalized;0.9;97;20880147;210;470;1;50;97;28018608;136;234;1;14
PostId_VersionCount_SO_17-06_sample_100_1;threeGramOverlap;0.7;97;27657812;253;466;5;7;97;22474134;147;231;4;3
PostId_VersionCount_SO_17-06_sample_100_1;fourGramDiceNormalizedPadding;0.4;97;20623302;254;467;4;6;97;29414285;148;233;2;2
PostId_VersionCount_SO_17-06_sample_100_1;fourGramOverlap;0.9;97;16225253;242;467;4;18;97;24019773;138;231;4;12
PostId_VersionCount_SO_17-06_sample_100_1;winnowingFiveGramLongestCommonSubsequenceNormalized;0.6;96;17850139;223;452;1;28;97;80577735;145;233;2;5
PostId_VersionCount_SO_17-06_sample_100_1;levenshtein;0.5;97;86266217;247;469;2;13;97;727481033;146;233;2;4
PostId_VersionCount_SO_17-06_sample_100_1;winnowingFiveGramOverlapNormalized;0.9;96;13234142;226;449;4;25;97;22873530;137;232;3;13
PostId_VersionCount_SO_17-06_sample_100_1;winnowingFiveGramOptimalAlignment;0.7;96;18038849;212;452;1;39;97;187006799;142;234;1;8
PostId_VersionCount_SO_17-06_sample_100_1;winnowingThreeGramLongestCommonSubsequenceNormalized;0.4;97;25801249;249;468;3;11;97;181047521;146;233;2;4
PostId_VersionCount_SO_17-06_sample_100_1;cosineThreeGramNormalizedTermFrequency;0.7;97;31501816;242;467;4;18;97;38161262;147;232;3;3
PostId_VersionCount_SO_17-06_sample_100_1;twoGramDiceNormalized;0.7;97;17305514;246;469;2;14;97;25382069;146;232;3;4
PostId_VersionCount_SO_17-06_sample_100_1;threeGramDiceNormalized;0.4;97;19625501;254;467;4;6;97;28131605;149;232;3;1
PostId_VersionCount_SO_17-06_sample_100_1;cosineTokenNormalizedBool;0.3;97;13705137;256;465;6;4;97;14232108;148;233;2;2
PostId_VersionCount_SO_17-06_sample_100_1;twoShingleOverlap;0.4;87;10252743;212;377;3;4;93;11765347;138;219;2;3
PostId_VersionCount_SO_17-06_sample_100_1;twoGramOverlap;0.7;97;15966675;256;467;4;4;97;20027975;149;231;4;1
PostId_VersionCount_SO_17-06_sample_100_1;twoGramDiceNormalized;0.8;97;17286969;237;469;2;23;97;25346911;146;233;2;4
PostId_VersionCount_SO_17-06_sample_100_1;twoGramDiceNormalized;0.5;97;17440261;255;467;4;5;97;25595412;149;232;3;1
PostId_VersionCount_SO_17-06_sample_100_1;winnowingFiveGramDice;0.4;96;8347461;246;450;3;5;97;16533601;147;233;2;3
PostId_VersionCount_SO_17-06_sample_100_1;threeGramDice;0.6;97;15205000;250;469;2;10;97;22556535;147;233;2;3
PostId_VersionCount_SO_17-06_sample_100_1;manhattanThreeGramNormalized;0.9;97;30831453;204;470;1;56;97;37372985;134;234;1;16
PostId_VersionCount_SO_17-06_sample_100_1;fourGramJaccardNormalized;0.9;97;22170828;183;470;1;77;97;30662590;131;234;1;19
PostId_VersionCount_SO_17-06_sample_100_1;cosineThreeGramNormalizedNormalizedTermFrequency;0.7;97;31761479;245;468;3;15;97;40553903;147;233;2;3
PostId_VersionCount_SO_17-06_sample_100_1;threeGramOverlapNormalizedPadding;0.4;97;19936452;256;467;4;4;97;28397983;149;233;2;1
PostId_VersionCount_SO_17-06_sample_100_1;winnowingFourGramDiceNormalized;0.7;97;13810207;235;469;2;25;97;22404897;144;233;2;6
PostId_VersionCount_SO_17-06_sample_100_1;threeGramOverlapNormalizedPadding;0.6;97;19943831;255;467;4;5;97;28323093;148;233;2;2
PostId_VersionCount_SO_17-06_sample_100_1;cosineTokenNormalizedTermFrequency;0.3;97;13703355;257;465;6;3;97;14594896;149;233;2;1
PostId_VersionCount_SO_17-06_sample_100_1;winnowingTwoGramJaccardNormalized;0.8;97;14838177;216;470;1;44;97;23504263;138;234;1;12
PostId_VersionCount_SO_17-06_sample_100_1;winnowingFourGramOptimalAlignment;0.5;97;24097460;239;468;3;21;97;233175402;146;233;2;4
PostId_VersionCount_SO_17-06_sample_100_1;threeGramOverlapNormalizedPadding;0.8;97;21375328;250;466;5;10;97;28119066;148;233;2;2
PostId_VersionCount_SO_17-06_sample_100_1;winnowingThreeGramLongestCommonSubsequenceNormalized;0.9;97;25506547;196;470;1;64;97;181588331;132;234;1;18
PostId_VersionCount_SO_17-06_sample_100_1;fiveGramDice;0.6;96;16070175;237;450;3;14;97;24474634;147;233;2;3
PostId_VersionCount_SO_17-06_sample_100_1;threeShingleJaccard;0.8;83;10836407;139;329;1;62;89;12827067;107;194;1;22
PostId_VersionCount_SO_17-06_sample_100_1;fiveGramJaccardNormalized;0.5;96;21735777;230;451;2;21;97;31995234;145;233;2;5
PostId_VersionCount_SO_17-06_sample_100_1;threeGramDice;0.8;97;15128852;233;470;1;27;97;22116621;145;233;2;5
PostId_VersionCount_SO_17-06_sample_100_1;optimalAlignmentNormalized;0.6;97;319684800;237;470;1;23;97;739232885;146;233;2;4
PostId_VersionCount_SO_17-06_sample_100_1;fiveGramDiceNormalizedPadding;0.7;96;20058257;226;451;2;25;97;30145533;145;233;2;5
PostId_VersionCount_SO_17-06_sample_100_1;winnowingTwoGramOverlapNormalized;0.7;97;14497971;250;465;6;10;97;38737599;149;232;3;1
