metric;threshold;numberOfTextPostsWithThisMetric;runtimeTextTotal;truePositivesText;trueNegativesText;falsePositivesText;falseNegativesText;numberOfCodePostsWithThisMetric;runtimeCodeTotal;truePositivesCode;trueNegativesCode;falsePositivesCode;falseNegativesCode
fourGramDiceNormalized;0.6;665;468387923;5156;17379;62;289;699;587282571;4318;13538;50;112
cosineTwoShingleNormalizedNormalizedTermFrequency;0.5;616;564162399;4572;14412;79;179;692;682678785;4284;13439;54;102
tokenDiceNormalized;0.9;670;496557962;4624;17741;17;899;699;575799390;4055;13566;22;375
threeGramOverlap;0.7;686;378934933;5491;18148;150;161;699;467642679;4329;13506;82;101
fourGramDiceNormalizedPadding;0.4;665;485352276;5291;17347;94;154;699;607853959;4356;13524;64;74
fourGramOverlap;0.9;674;383324840;5198;17795;126;358;699;494792169;4206;13524;64;224
winnowingFiveGramLongestCommonSubsequenceNormalized;0.6;658;482764378;4854;17065;34;526;697;1264380730;4224;13522;40;198
levenshtein;0.5;699;2816688237;5420;18754;67;345;699;7982639620;4305;13544;44;125
winnowingFiveGramOverlapNormalized;0.9;658;323893622;4954;16990;109;426;697;454303168;4149;13496;66;273
winnowingFiveGramOptimalAlignment;0.7;665;514391406;4749;17467;26;704;699;3045792180;4146;13561;27;284
winnowingThreeGramLongestCommonSubsequenceNormalized;0.4;679;760008194;5323;17966;68;272;699;2029742736;4317;13534;54;113
cosineThreeGramNormalizedTermFrequency;0.7;679;785123867;5293;17960;74;302;699;817265275;4320;13533;55;110
twoGramDiceNormalized;0.7;697;427280342;5474;18745;73;288;699;529701461;4326;13536;52;104
threeGramDiceNormalized;0.4;679;471987044;5462;17932;102;133;699;571343541;4355;13517;71;75
cosineTokenNormalizedBool;0.3;699;337814225;5659;18695;126;106;699;329155345;4366;13521;67;64
twoShingleOverlap;0.4;596;230627158;4418;13573;89;114;651;276904045;3823;11351;58;110
twoGramOverlap;0.7;699;320170161;5590;18627;194;175;699;423652789;4329;13490;98;101
twoGramDiceNormalized;0.8;697;429207284;5321;18768;50;441;699;532322556;4270;13545;43;160
twoGramDiceNormalized;0.5;697;431994772;5614;18701;117;148;699;553526905;4347;13510;78;83
winnowingFiveGramDice;0.4;665;207185953;5271;17403;90;182;699;351708869;4357;13522;66;73
threeGramDice;0.6;686;364402547;5409;18226;72;243;699;489235241;4339;13536;52;91
manhattanThreeGramNormalized;0.9;679;767126483;4640;18018;16;955;699;799206250;4050;13567;21;380
fourGramJaccardNormalized;0.9;665;523649291;4265;17430;11;1180;699;649000319;3902;13572;16;528
cosineThreeGramNormalizedNormalizedTermFrequency;0.7;679;797227592;5288;17972;62;307;699;822151918;4317;13536;52;113
threeGramOverlapNormalizedPadding;0.4;679;487228730;5506;17888;146;89;699;581562968;4352;13495;93;78
winnowingFourGramDiceNormalized;0.7;665;333258188;4984;17398;43;461;699;465975074;4256;13544;44;174
threeGramOverlapNormalizedPadding;0.6;679;483389307;5488;17908;126;107;699;579013708;4353;13514;74;77
cosineTokenNormalizedTermFrequency;0.3;699;338853559;5644;18681;140;121;699;329286234;4359;13514;74;71
winnowingTwoGramJaccardNormalized;0.8;697;376276568;4986;18794;24;776;699;484777854;4131;13559;29;299
winnowingFourGramOptimalAlignment;0.5;674;693395934;5167;17867;54;389;699;3070911006;4272;13546;42;158
threeGramOverlapNormalizedPadding;0.8;679;482605954;5406;17916;118;189;699;577136527;4320;13527;61;110
winnowingThreeGramLongestCommonSubsequenceNormalized;0.9;679;753610809;4443;18018;16;1152;699;2015811172;3935;13571;17;495
fiveGramDice;0.6;665;385876513;5148;17433;60;305;699;513166258;4317;13539;49;113
threeShingleJaccard;0.8;527;219827190;2795;10035;6;845;615;297126414;3064;10171;10;558
fiveGramJaccardNormalized;0.5;658;531293126;4990;17050;49;390;697;648893139;4273;13518;44;149
threeGramDice;0.8;686;363124014;5130;18262;36;522;699;463744004;4233;13550;38;197
optimalAlignmentNormalized;0.6;699;8906833518;5309;18769;52;456;699;10966725715;4265;13547;41;165
fiveGramDiceNormalizedPadding;0.7;658;487510129;4923;17060;39;457;697;612262457;4250;13523;39;172
winnowingTwoGramOverlapNormalized;0.7;697;365301567;5552;18629;189;210;699;492568341;4312;13489;99;118
twoGramOverlapNormalized;0.9;697;431470680;5493;18653;165;269;699;524010694;4279;13509;79;151
cosineTwoShingleNormalizedTermFrequency;0.4;617;563497618;4621;14408;83;130;692;675393117;4299;13434;59;87
tokenDice;0.6;699;123999603;5438;18750;71;327;699;160314436;4257;13546;42;173
winnowingThreeGramJaccardNormalized;0.7;679;361140768;4928;18007;27;667;699;480248084;4182;13555;33;248
damerauLevenshtein;0.9;699;11434613419;4651;18801;20;1114;699;21048723747;3942;13571;17;488
cosineTwoShingleNormalizedTermFrequency;0.3;616;563012390;4652;14402;89;99;692;673756357;4312;13424;69;74
winnowingThreeGramOptimalAlignment;0.9;686;1024348433;4479;18283;15;1173;699;3683776181;3906;13573;15;524
winnowingTwoGramJaccard;0.3;699;253397997;5612;18700;121;153;699;370103419;4364;13515;73;66
winnowingTwoGramOptimalAlignmentNormalized;0.8;697;1663928084;4865;18794;24;897;699;3508133264;4084;13566;22;346
winnowingFiveGramLongestCommonSubsequence;0.9;665;394841783;4290;17478;15;1163;699;1712147007;3903;13574;14;527
twoShingleJaccard;0.6;596;239219556;3979;13634;28;553;651;285984859;3602;11388;21;331
threeShingleDiceNormalized;0.5;538;433067650;3647;10704;56;198;667;587822324;3827;11093;40;130
twoShingleDice;0.6;596;227896415;4188;13616;46;344;651;275020378;3715;11375;34;218
winnowingThreeGramDiceNormalized;0.5;679;347591449;5380;17959;75;215;699;472210396;4340;13530;58;90
twoGramOverlapNormalized;0.4;697;434257600;5586;18588;230;176;699;555967011;4315;13460;128;115
winnowingTwoGramDiceNormalized;0.9;697;385176679;4924;18797;21;838;699;470124621;4117;13562;26;313
cosineThreeGramNormalizedNormalizedTermFrequency;0.8;679;794349328;5127;17994;40;468;699;815396212;4260;13547;41;170
fiveGramOverlap;0.9;665;386896455;5074;17378;115;379;699;508126938;4175;13526;62;255
fourGramDiceNormalizedPadding;0.7;665;482248365;5019;17394;47;426;699;599400568;4275;13546;42;155
manhattanThreeShingleNormalized;0.5;538;502138025;3644;10708;52;201;667;654447170;3826;11093;40;131
twoGramJaccardNormalized;0.3;697;469582284;5624;18693;125;138;699;563174941;4349;13506;82;81
manhattanThreeGramNormalized;0.7;679;766512572;5173;17987;47;422;699;803953792;4275;13546;42;155
winnowingFourGramJaccard;0.7;674;222969159;4880;17897;24;676;699;360774781;4176;13555;33;254
fourGramDiceNormalizedPadding;0.5;665;482148957;5235;17368;73;210;699;598162376;4336;13530;58;94
manhattanTwoShingleNormalized;0.5;616;558634727;4538;14422;69;213;692;687274714;4270;13443;50;116
twoShingleDiceNormalized;0.6;616;479996742;4466;14435;56;285;692;615965031;4238;13446;47;148
winnowingTwoGramLongestCommonSubsequenceNormalized;0.9;697;1166589328;4621;18799;19;1141;699;3017021157;3959;13570;18;471
twoGramDiceNormalizedPadding;0.4;697;442246546;5628;18680;138;134;699;532785497;4356;13503;85;74
tokenDiceNormalized;0.6;670;498398754;5251;17693;65;272;699;581766720;4318;13535;53;112
twoShingleOverlapNormalized;0.3;616;485640892;4650;14370;121;101;692;610205547;4285;13399;94;101
fourGramDice;0.6;674;379686355;5272;17857;64;284;699;495564310;4326;13538;50;104
winnowingFourGramJaccard;0.9;674;220734721;4344;17906;15;1212;699;356222828;3907;13573;15;523
cosineThreeShingleNormalizedNormalizedTermFrequency;0.3;538;506476063;3759;10689;71;86;667;658398763;3881;11082;51;76
winnowingTwoGramOptimalAlignmentNormalized;0.4;697;1671730526;5480;18747;71;282;699;3496269576;4316;13536;52;114
fourGramJaccardNormalized;0.6;665;524996387;4951;17404;37;494;699;631488634;4239;13549;39;191
cosineTokenNormalizedNormalizedTermFrequency;0.7;699;329405271;5429;18748;73;336;699;325449142;4266;13542;46;164
winnowingFourGramOptimalAlignmentNormalized;0.9;665;728777709;4261;17428;13;1184;699;1843643168;3914;13571;17;516
manhattanThreeShingleNormalized;0.9;538;497632769;3010;10754;6;835;667;654020896;3474;11118;15;483
fourGramJaccardNormalizedPadding;0.7;665;542004391;4767;17419;22;678;699;647591770;4173;13555;33;257
winnowingFourGramDiceNormalized;0.9;665;328833487;4457;17425;16;988;699;458649177;4017;13566;22;413
twoGramOverlapNormalizedPadding;0.9;697;437059256;5524;18699;119;238;699;536628273;4298;13524;64;132
winnowingFourGramOverlap;0.3;674;220000212;5416;17744;177;140;699;350994660;4332;13482;106;98
cosineThreeShingleNormalizedBool;0.8;538;508406539;3334;10742;18;511;667;656137225;3642;11110;23;315
twoGramDiceNormalizedPadding;0.8;697;432296510;5308;18768;50;454;699;533709856;4269;13546;42;161
damerauLevenshtein;0.4;699;11760863039;5520;18746;75;245;699;20951606953;4335;13531;57;95
winnowingThreeGramLongestCommonSubsequence;0.9;686;756579943;4499;18283;15;1153;699;3007359018;3923;13573;15;507
twoShingleOverlap;0.3;596;232822916;4435;13570;92;97;651;279906977;3839;11348;61;94
cosineFiveGramNormalizedBool;0.6;658;842234603;5097;17035;64;283;697;920103093;4307;13511;51;115
